Season,Club/Country,Award,Player
97/98,Ajax Amsterdam,Dutch Cup winner,Edwin van der Sar
92/93,Ajax Amsterdam,Dutch Cup winner,Edwin van der Sar
96,Ajax Amsterdam,Dutch Super Cup winner,Edwin van der Sar
95,Ajax Amsterdam,Dutch Super Cup winner,Edwin van der Sar
94,Ajax Amsterdam,Dutch Super Cup winner,Edwin van der Sar
95,Ajax Amsterdam,Intercontinental Cup winner,Edwin van der Sar
99,Netherlands,Footballer of the Year,Ruud van Nistelrooy
08/09,Supercopa- 3 Goals,Top goal scorer,Ruud van Nistelrooy
98/99,KPN Telecompetitie- 29 Goals,Top goal scorer,Ruud van Nistelrooy
07/08,Real Madrid,Spanish champion,Ruud van Nistelrooy
08/09,Real Madrid,Spanish Super Cup winner,Ruud van Nistelrooy
07/08,Real Madrid,Spanish Super Cup winner,Ruud van Nistelrooy
99,PSV Eindhoven,Dutch Super Cup winner,Ruud van Nistelrooy
12,FC Barcelona,UEFA Best Player in Europe,Andrés Iniesta
09,Spain,Footballer of the Year,Andrés Iniesta
11/12,Spain,Player of the Year,Andrés Iniesta
10,Spain,World Cup winner,Andrés Iniesta
12,Spain,European champion,Andrés Iniesta
08,Spain,European champion,Andrés Iniesta
14/15,FC Barcelona,Champions League winner,Andrés Iniesta
10/11,FC Barcelona,Champions League winner,Andrés Iniesta
08/09,FC Barcelona,Champions League winner,Andrés Iniesta
16,FC Barcelona,FIFA Club World Cup winner,Andrés Iniesta
12,FC Barcelona,FIFA Club World Cup winner,Andrés Iniesta
10,FC Barcelona,FIFA Club World Cup winner,Andrés Iniesta
17/18,FC Barcelona,Spanish champion,Andrés Iniesta
15/16,FC Barcelona,Spanish champion,Andrés Iniesta
14/15,FC Barcelona,Spanish champion,Andrés Iniesta
12/13,FC Barcelona,Spanish champion,Andrés Iniesta
10/11,FC Barcelona,Spanish champion,Andrés Iniesta
09/10,FC Barcelona,Spanish champion,Andrés Iniesta
08/09,FC Barcelona,Spanish champion,Andrés Iniesta
15/16,FC Barcelona,Uefa Supercup winner,Andrés Iniesta
11/12,FC Barcelona,Uefa Supercup winner,Andrés Iniesta
09/10,FC Barcelona,Uefa Supercup winner,Andrés Iniesta
17/18,FC Barcelona,Spanish cup winner,Andrés Iniesta
16/17,FC Barcelona,Spanish cup winner,Andrés Iniesta
15/16,FC Barcelona,Spanish cup winner,Andrés Iniesta
14/15,FC Barcelona,Spanish cup winner,Andrés Iniesta
11/12,FC Barcelona,Spanish cup winner,Andrés Iniesta
08/09,FC Barcelona,Spanish cup winner,Andrés Iniesta
16/17,FC Barcelona,Spanish Super Cup winner,Andrés Iniesta
13/14,FC Barcelona,Spanish Super Cup winner,Andrés Iniesta
11/12,FC Barcelona,Spanish Super Cup winner,Andrés Iniesta
10/11,FC Barcelona,Spanish Super Cup winner,Andrés Iniesta
09/10,FC Barcelona,Spanish Super Cup winner,Andrés Iniesta
23,Vissel Kobe,Japanese champion,Andrés Iniesta
19,Vissel Kobe,Japanese cup winner,Andrés Iniesta
20,Vissel Kobe,Japanese Super Cup winner,Andrés Iniesta
17,Bosnia-Herzegovina,Footballer of the Year,Edin Džeko
11,Bosnia-Herzegovina,Footballer of the Year,Edin Džeko
10,Bosnia-Herzegovina,Footballer of the Year,Edin Džeko
09,Bosnia-Herzegovina,Footballer of the Year,Edin Džeko
16/17,UEFA Europa League- 8 Goals,Top goal scorer,Edin Džeko
16/17,Serie A- 29 Goals,Top goal scorer,Edin Džeko
09/10,Bundesliga- 22 Goals,Top goal scorer,Edin Džeko
13/14,Manchester City,English Champion,Edin Džeko
11/12,Manchester City,English Champion,Edin Džeko
08/09,VfL Wolfsburg,German Champion,Edin Džeko
11,Manchester City,English FA Cup winner,Edin Džeko
22/23,Inter Milan,Italian cup winner,Edin Džeko
21/22,Inter Milan,Italian cup winner,Edin Džeko
22/23,Inter Milan,Italian Super Cup winner,Edin Džeko
21/22,Inter Milan,Italian Super Cup winner,Edin Džeko
14,Manchester City,English League Cup winner,Edin Džeko
13,Manchester City,English Super Cup winner,Edin Džeko
96,Wales,Footballer of the Year,Ryan Giggs
07/08,Manchester United,Champions League winner,Ryan Giggs
98/99,Manchester United,Champions League winner,Ryan Giggs
08,Manchester United,FIFA Club World Cup winner,Ryan Giggs
12/13,Manchester United,English Champion,Ryan Giggs
10/11,Manchester United,English Champion,Ryan Giggs
08/09,Manchester United,English Champion,Ryan Giggs
07/08,Manchester United,English Champion,Ryan Giggs
98/99,Manchester United,English Champion,Ryan Giggs
96/97,Manchester United,English Champion,Ryan Giggs
95/96,Manchester United,English Champion,Ryan Giggs
93/94,Manchester United,English Champion,Ryan Giggs
92/93,Manchester United,English Champion,Ryan Giggs
90/91,Manchester United,Uefa Supercup winner,Ryan Giggs
99,Manchester United,English FA Cup winner,Ryan Giggs
96,Manchester United,English FA Cup winner,Ryan Giggs
94,Manchester United,English FA Cup winner,Ryan Giggs
10,Manchester United,English League Cup winner,Ryan Giggs
09,Manchester United,English League Cup winner,Ryan Giggs
92,Manchester United,English League Cup winner,Ryan Giggs
14,Manchester United,English Super Cup winner,Ryan Giggs
11,Manchester United,English Super Cup winner,Ryan Giggs
09,Manchester United,English Super Cup winner,Ryan Giggs
08,Manchester United,English Super Cup winner,Ryan Giggs
98,Manchester United,English Super Cup winner,Ryan Giggs
97,Manchester United,English Super Cup winner,Ryan Giggs
95,Manchester United,English Super Cup winner,Ryan Giggs
94,Manchester United,English Super Cup winner,Ryan Giggs
99,Manchester United,Intercontinental Cup winner,Ryan Giggs
07/08,Copa del Rey- 4 Goals,Top goal scorer,Thierry Henry
98,France,World Cup winner,Thierry Henry
08/09,FC Barcelona,Champions League winner,Thierry Henry
10,FC Barcelona,FIFA Club World Cup winner,Thierry Henry
09,FC Barcelona,FIFA Club World Cup winner,Thierry Henry
09/10,FC Barcelona,Spanish champion,Thierry Henry
08/09,FC Barcelona,Spanish champion,Thierry Henry
96/97,AS Monaco,French champion,Thierry Henry
09/10,FC Barcelona,Uefa Supercup winner,Thierry Henry
08/09,FC Barcelona,Spanish cup winner,Thierry Henry
09/10,FC Barcelona,Spanish Super Cup winner,Thierry Henry
08/09,FC Barcelona,Spanish Super Cup winner,Thierry Henry
12/13,New York Red Bulls,Supporters' Shield Winner,Thierry Henry
08/09,LaLiga- 32 Goals,Top goal scorer,Diego Forlán
10/11,Uruguay,Copa América winner,Diego Forlán
10/11,Atlético de Madrid,Uefa Supercup winner,Diego Forlán
09/10,Atlético de Madrid,Europa League winner,Diego Forlán
15/16,CA Peñarol,Uruguayan champion,Diego Forlán
17/18,Kitchee,Hong Kong champion,Diego Forlán
17/18,Kitchee,Hong Kong cup winner,Diego Forlán
09,France,Footballer of the Year,Yoann Gourcuff
08,AC Milan,FIFA Club World Cup winner,Yoann Gourcuff
08/09,FC Girondins Bordeaux,French champion,Yoann Gourcuff
11/12,Olympique Lyon,French cup winner,Yoann Gourcuff
08/09,FC Girondins Bordeaux,French league cup winner,Yoann Gourcuff
12/13,Olympique Lyon,French Super Cup winner,Yoann Gourcuff
09/10,FC Girondins Bordeaux,French Super Cup winner,Yoann Gourcuff
08/09,FC Girondins Bordeaux,French Super Cup winner,Yoann Gourcuff
09/10,FC Internazionale,Champions League winner,Maicon
10,FC Internazionale,FIFA Club World Cup winner,Maicon
09/10,FC Internazionale,Italian champion,Maicon
08/09,FC Internazionale,Italian champion,Maicon
07/08,FC Internazionale,Italian champion,Maicon
10/11,FC Internazionale,Italian cup winner,Maicon
09/10,FC Internazionale,Italian cup winner,Maicon
10/11,FC Internazionale,Italian Super Cup winner,Maicon
08/09,FC Internazionale,Italian Super Cup winner,Maicon
09,Brazil,Confederations Cup winner,Maicon
13/14,Atlético de Madrid,Spanish champion,Diego Ribas da Cunha
11/12,Atlético de Madrid,Europa League winner,Diego Ribas da Cunha
08/09,SV Werder Bremen,German cup winner,Diego Ribas da Cunha
14/15,Fenerbahce,Turkish Super Cup winner,Diego Ribas da Cunha
20,CR Flamengo,Brazilian champion,Diego Ribas da Cunha
19,CR Flamengo,Brazilian champion,Diego Ribas da Cunha
21,CR Flamengo,Winner Supercopa do Brasil,Diego Ribas da Cunha
20,CR Flamengo,Winner Supercopa do Brasil,Diego Ribas da Cunha
22,CR Flamengo,Brazilian cup winner,Diego Ribas da Cunha
21/22,CR Flamengo,Copa Libertadores winner,Diego Ribas da Cunha
18/19,CR Flamengo,Copa Libertadores winner,Diego Ribas da Cunha
19/20,CR Flamengo,Recopa Sudamericana winner,Diego Ribas da Cunha
11/12,Chelsea FC,Champions League winner,John Terry
16/17,Chelsea FC,English Champion,John Terry
14/15,Chelsea FC,English Champion,John Terry
09/10,Chelsea FC,English Champion,John Terry
12/13,Chelsea FC,Europa League winner,John Terry
12,Chelsea FC,English FA Cup winner,John Terry
10,Chelsea FC,English FA Cup winner,John Terry
09,Chelsea FC,English FA Cup winner,John Terry
15,Chelsea FC,English League Cup winner,John Terry
09,Chelsea FC,English Super Cup winner,John Terry
14,Ivory Coast,African Footballer of the Year,Yaya Touré
13,Ivory Coast,African Footballer of the Year,Yaya Touré
12,Ivory Coast,African Footballer of the Year,Yaya Touré
11,Ivory Coast,African Footballer of the Year,Yaya Touré
15,Ivory Coast,Africa Cup winner,Yaya Touré
08/09,FC Barcelona,Champions League winner,Yaya Touré
10,FC Barcelona,FIFA Club World Cup winner,Yaya Touré
17/18,Manchester City,English Champion,Yaya Touré
13/14,Manchester City,English Champion,Yaya Touré
11/12,Manchester City,English Champion,Yaya Touré
09/10,FC Barcelona,Spanish champion,Yaya Touré
08/09,FC Barcelona,Spanish champion,Yaya Touré
09/10,FC Barcelona,Uefa Supercup winner,Yaya Touré
11,Manchester City,English FA Cup winner,Yaya Touré
08/09,FC Barcelona,Spanish cup winner,Yaya Touré
18,Manchester City,English League Cup winner,Yaya Touré
16,Manchester City,English League Cup winner,Yaya Touré
14,Manchester City,English League Cup winner,Yaya Touré
09/10,FC Barcelona,Spanish Super Cup winner,Yaya Touré
13,Manchester City,English Super Cup winner,Yaya Touré
09/10,FC Internazionale,Champions League winner,Wesley Sneijder
10,FC Internazionale,FIFA Club World Cup winner,Wesley Sneijder
09/10,FC Internazionale,Italian champion,Wesley Sneijder
07/08,Real Madrid,Spanish champion,Wesley Sneijder
10/11,FC Internazionale,Italian cup winner,Wesley Sneijder
09/10,FC Internazionale,Italian cup winner,Wesley Sneijder
10/11,FC Internazionale,Italian Super Cup winner,Wesley Sneijder
07/08,Real Madrid,Spanish Super Cup winner,Wesley Sneijder
14/15,Galatasaray,Turkish champion,Wesley Sneijder
12/13,Galatasaray,Turkish champion,Wesley Sneijder
15/16,Galatasaray,Turkish cup winner,Wesley Sneijder
14/15,Galatasaray,Turkish cup winner,Wesley Sneijder
13/14,Galatasaray,Turkish cup winner,Wesley Sneijder
16/17,Galatasaray,Turkish Super Cup winner,Wesley Sneijder
15/16,Galatasaray,Turkish Super Cup winner,Wesley Sneijder
13/14,Galatasaray,Turkish Super Cup winner,Wesley Sneijder
10,Spain,World Cup winner,Xabi Alonso
12,Spain,European champion,Xabi Alonso
08,Spain,European champion,Xabi Alonso
13/14,Real Madrid,Champions League winner,Xabi Alonso
16/17,Bayern Munich,German Champion,Xabi Alonso
15/16,Bayern Munich,German Champion,Xabi Alonso
14/15,Bayern Munich,German Champion,Xabi Alonso
11/12,Real Madrid,Spanish champion,Xabi Alonso
13/14,Real Madrid,Uefa Supercup winner,Xabi Alonso
15/16,Bayern Munich,German cup winner,Xabi Alonso
13/14,Real Madrid,Spanish cup winner,Xabi Alonso
10/11,Real Madrid,Spanish cup winner,Xabi Alonso
12/13,Real Madrid,Spanish Super Cup winner,Xabi Alonso
16/17,Bayern Munich,German Super Cup winner,Xabi Alonso
10,Spain,World Cup winner,Carles Puyol
08,Spain,European champion,Carles Puyol
10/11,FC Barcelona,Champions League winner,Carles Puyol
08/09,FC Barcelona,Champions League winner,Carles Puyol
12,FC Barcelona,FIFA Club World Cup winner,Carles Puyol
10,FC Barcelona,FIFA Club World Cup winner,Carles Puyol
12/13,FC Barcelona,Spanish champion,Carles Puyol
10/11,FC Barcelona,Spanish champion,Carles Puyol
09/10,FC Barcelona,Spanish champion,Carles Puyol
08/09,FC Barcelona,Spanish champion,Carles Puyol
11/12,FC Barcelona,Uefa Supercup winner,Carles Puyol
09/10,FC Barcelona,Uefa Supercup winner,Carles Puyol
11/12,FC Barcelona,Spanish cup winner,Carles Puyol
08/09,FC Barcelona,Spanish cup winner,Carles Puyol
13/14,FC Barcelona,Spanish Super Cup winner,Carles Puyol
11/12,FC Barcelona,Spanish Super Cup winner,Carles Puyol
10/11,FC Barcelona,Spanish Super Cup winner,Carles Puyol
09/10,FC Barcelona,Spanish Super Cup winner,Carles Puyol
14/15,Germany,Player of the Year,Mesut Özil
14,Germany,World Cup winner,Mesut Özil
11/12,Real Madrid,Spanish champion,Mesut Özil
20,Arsenal FC,English FA Cup winner,Mesut Özil
17,Arsenal FC,English FA Cup winner,Mesut Özil
15,Arsenal FC,English FA Cup winner,Mesut Özil
14,Arsenal FC,English FA Cup winner,Mesut Özil
08/09,SV Werder Bremen,German cup winner,Mesut Özil
10/11,Real Madrid,Spanish cup winner,Mesut Özil
12/13,Real Madrid,Spanish Super Cup winner,Mesut Özil
16,Arsenal FC,English Super Cup winner,Mesut Özil
15,Arsenal FC,English Super Cup winner,Mesut Özil
09,Germany,European Under-21 champion,Mesut Özil
10,Germany,Footballer of the Year,Arjen Robben
09/10,Bayern Munich,Player of the Year,Arjen Robben
12/13,Bayern Munich,Champions League winner,Arjen Robben
14,Bayern Munich,FIFA Club World Cup winner,Arjen Robben
18/19,Bayern Munich,German Champion,Arjen Robben
17/18,Bayern Munich,German Champion,Arjen Robben
16/17,Bayern Munich,German Champion,Arjen Robben
15/16,Bayern Munich,German Champion,Arjen Robben
14/15,Bayern Munich,German Champion,Arjen Robben
13/14,Bayern Munich,German Champion,Arjen Robben
12/13,Bayern Munich,German Champion,Arjen Robben
09/10,Bayern Munich,German Champion,Arjen Robben
07/08,Real Madrid,Spanish champion,Arjen Robben
13/14,Bayern Munich,Uefa Supercup winner,Arjen Robben
18/19,Bayern Munich,German cup winner,Arjen Robben
15/16,Bayern Munich,German cup winner,Arjen Robben
13/14,Bayern Munich,German cup winner,Arjen Robben
12/13,Bayern Munich,German cup winner,Arjen Robben
09/10,Bayern Munich,German cup winner,Arjen Robben
18/19,Bayern Munich,German Super Cup winner,Arjen Robben
17/18,Bayern Munich,German Super Cup winner,Arjen Robben
16/17,Bayern Munich,German Super Cup winner,Arjen Robben
12/13,Bayern Munich,German Super Cup winner,Arjen Robben
08/09,Real Madrid,Spanish Super Cup winner,Arjen Robben
13/14,DFB-Pokal- 8 Goals,Top goal scorer,Thomas Müller
09/10,DFB-Pokal- 4 Goals,Top goal scorer,Thomas Müller
09/10,World Cup 2010- 5 Goals,Top goal scorer,Thomas Müller
14,Germany,World Cup winner,Thomas Müller
19/20,Bayern Munich,Champions League winner,Thomas Müller
12/13,Bayern Munich,Champions League winner,Thomas Müller
21,Bayern Munich,FIFA Club World Cup winner,Thomas Müller
14,Bayern Munich,FIFA Club World Cup winner,Thomas Müller
22/23,Bayern Munich,German Champion,Thomas Müller
21/22,Bayern Munich,German Champion,Thomas Müller
20/21,Bayern Munich,German Champion,Thomas Müller
19/20,Bayern Munich,German Champion,Thomas Müller
18/19,Bayern Munich,German Champion,Thomas Müller
17/18,Bayern Munich,German Champion,Thomas Müller
16/17,Bayern Munich,German Champion,Thomas Müller
15/16,Bayern Munich,German Champion,Thomas Müller
14/15,Bayern Munich,German Champion,Thomas Müller
13/14,Bayern Munich,German Champion,Thomas Müller
12/13,Bayern Munich,German Champion,Thomas Müller
09/10,Bayern Munich,German Champion,Thomas Müller
20/21,Bayern Munich,Uefa Supercup winner,Thomas Müller
13/14,Bayern Munich,Uefa Supercup winner,Thomas Müller
19/20,Bayern Munich,German cup winner,Thomas Müller
18/19,Bayern Munich,German cup winner,Thomas Müller
15/16,Bayern Munich,German cup winner,Thomas Müller
13/14,Bayern Munich,German cup winner,Thomas Müller
12/13,Bayern Munich,German cup winner,Thomas Müller
09/10,Bayern Munich,German cup winner,Thomas Müller
22/23,Bayern Munich,German Super Cup winner,Thomas Müller
21/22,Bayern Munich,German Super Cup winner,Thomas Müller
20/21,Bayern Munich,German Super Cup winner,Thomas Müller
18/19,Bayern Munich,German Super Cup winner,Thomas Müller
17/18,Bayern Munich,German Super Cup winner,Thomas Müller
16/17,Bayern Munich,German Super Cup winner,Thomas Müller
12/13,Bayern Munich,German Super Cup winner,Thomas Müller
10/11,Bayern Munich,German Super Cup winner,Thomas Müller
13,Germany,Footballer of the Year,Bastian Schweinsteiger
14,Germany,World Cup winner,Bastian Schweinsteiger
12/13,Bayern Munich,Champions League winner,Bastian Schweinsteiger
14,Bayern Munich,FIFA Club World Cup winner,Bastian Schweinsteiger
14/15,Bayern Munich,German Champion,Bastian Schweinsteiger
13/14,Bayern Munich,German Champion,Bastian Schweinsteiger
12/13,Bayern Munich,German Champion,Bastian Schweinsteiger
09/10,Bayern Munich,German Champion,Bastian Schweinsteiger
07/08,Bayern Munich,German Champion,Bastian Schweinsteiger
13/14,Bayern Munich,Uefa Supercup winner,Bastian Schweinsteiger
16/17,Manchester United,Europa League winner,Bastian Schweinsteiger
13/14,Bayern Munich,German cup winner,Bastian Schweinsteiger
12/13,Bayern Munich,German cup winner,Bastian Schweinsteiger
09/10,Bayern Munich,German cup winner,Bastian Schweinsteiger
07/08,Bayern Munich,German cup winner,Bastian Schweinsteiger
16,Manchester United,English FA Cup winner,Bastian Schweinsteiger
12/13,Bayern Munich,German Super Cup winner,Bastian Schweinsteiger
10/11,Bayern Munich,German Super Cup winner,Bastian Schweinsteiger
17,Manchester United,English League Cup winner,Bastian Schweinsteiger
09,Bayern Munich,German League Cup winner,Bastian Schweinsteiger
08,Bayern Munich,German League Cup winner,Bastian Schweinsteiger
13/14,AFC Champions League- 12 Goals,Top goal scorer,Asamoah Gyan
13/14,UAE Pro League- 29 Goals,Top goal scorer,Asamoah Gyan
12/13,UAE Pro-League- 31 Goals,Top goal scorer,Asamoah Gyan
11/12,UAE Pro League- 22 Goals,Top goal scorer,Asamoah Gyan
14/15,Al-Ain FC,UAE Champion,Asamoah Gyan
14,Germany,World Cup winner,Miroslav Klose
09/10,Bayern Munich,German Champion,Miroslav Klose
07/08,Bayern Munich,German Champion,Miroslav Klose
09/10,Bayern Munich,German cup winner,Miroslav Klose
07/08,Bayern Munich,German cup winner,Miroslav Klose
12/13,SS Lazio,Italian cup winner,Miroslav Klose
10/11,Bayern Munich,German Super Cup winner,Miroslav Klose
09/10,Bayern Munich,German Super Cup winner,Miroslav Klose
08,Bayern Munich,German League Cup winner,Miroslav Klose
17,Germany,Footballer of the Year,Philipp Lahm
14,Germany,World Cup winner,Philipp Lahm
12/13,Bayern Munich,Champions League winner,Philipp Lahm
14,Bayern Munich,FIFA Club World Cup winner,Philipp Lahm
16/17,Bayern Munich,German Champion,Philipp Lahm
15/16,Bayern Munich,German Champion,Philipp Lahm
14/15,Bayern Munich,German Champion,Philipp Lahm
13/14,Bayern Munich,German Champion,Philipp Lahm
12/13,Bayern Munich,German Champion,Philipp Lahm
09/10,Bayern Munich,German Champion,Philipp Lahm
07/08,Bayern Munich,German Champion,Philipp Lahm
13/14,Bayern Munich,Uefa Supercup winner,Philipp Lahm
15/16,Bayern Munich,German cup winner,Philipp Lahm
13/14,Bayern Munich,German cup winner,Philipp Lahm
12/13,Bayern Munich,German cup winner,Philipp Lahm
09/10,Bayern Munich,German cup winner,Philipp Lahm
07/08,Bayern Munich,German cup winner,Philipp Lahm
16/17,Bayern Munich,German Super Cup winner,Philipp Lahm
12/13,Bayern Munich,German Super Cup winner,Philipp Lahm
10/11,Bayern Munich,German Super Cup winner,Philipp Lahm
08,Bayern Munich,German League Cup winner,Philipp Lahm
18/19,Brazil,Copa América winner,Dani Alves
14/15,FC Barcelona,Champions League winner,Dani Alves
10/11,FC Barcelona,Champions League winner,Dani Alves
08/09,FC Barcelona,Champions League winner,Dani Alves
16,FC Barcelona,FIFA Club World Cup winner,Dani Alves
12,FC Barcelona,FIFA Club World Cup winner,Dani Alves
10,FC Barcelona,FIFA Club World Cup winner,Dani Alves
15/16,FC Barcelona,Spanish champion,Dani Alves
14/15,FC Barcelona,Spanish champion,Dani Alves
12/13,FC Barcelona,Spanish champion,Dani Alves
10/11,FC Barcelona,Spanish champion,Dani Alves
09/10,FC Barcelona,Spanish champion,Dani Alves
08/09,FC Barcelona,Spanish champion,Dani Alves
18/19,Paris Saint-Germain,French champion,Dani Alves
17/18,Paris Saint-Germain,French champion,Dani Alves
16/17,Juventus FC,Italian champion,Dani Alves
15/16,FC Barcelona,Uefa Supercup winner,Dani Alves
11/12,FC Barcelona,Uefa Supercup winner,Dani Alves
09/10,FC Barcelona,Uefa Supercup winner,Dani Alves
15/16,FC Barcelona,Spanish cup winner,Dani Alves
14/15,FC Barcelona,Spanish cup winner,Dani Alves
11/12,FC Barcelona,Spanish cup winner,Dani Alves
08/09,FC Barcelona,Spanish cup winner,Dani Alves
17/18,Paris Saint-Germain,French cup winner,Dani Alves
16/17,Juventus FC,Italian cup winner,Dani Alves
13/14,FC Barcelona,Spanish Super Cup winner,Dani Alves
11/12,FC Barcelona,Spanish Super Cup winner,Dani Alves
10/11,FC Barcelona,Spanish Super Cup winner,Dani Alves
09/10,FC Barcelona,Spanish Super Cup winner,Dani Alves
07/08,Sevilla FC,Spanish Super Cup winner,Dani Alves
17/18,Paris Saint-Germain,French league cup winner,Dani Alves
13,Brazil,Confederations Cup winner,Dani Alves
09,Brazil,Confederations Cup winner,Dani Alves
18/19,Paris Saint-Germain,French Super Cup winner,Dani Alves
17/18,Paris Saint-Germain,French Super Cup winner,Dani Alves
20/21,Brazil Olympic Team,Olympic medalist,Dani Alves
14,England,Footballer of the Year,Luis Suárez Díaz
10,Netherlands,Footballer of the Year,Luis Suárez Díaz
15/16,LaLiga- 40 Goals,Top goal scorer,Luis Suárez Díaz
15/16,Copa del Rey- 5 Goals,Top goal scorer,Luis Suárez Díaz
13/14,Premier League- 31 Goals,Top goal scorer,Luis Suárez Díaz
13/14,World Cup qualification South America- 11 Goals,Top goal scorer,Luis Suárez Díaz
09/10,Eredivisie- 35 Goals,Top goal scorer,Luis Suárez Díaz
09/10,KNVB beker- 8 Goals,Top goal scorer,Luis Suárez Díaz
10/11,Uruguay,Copa América winner,Luis Suárez Díaz
14/15,FC Barcelona,Champions League winner,Luis Suárez Díaz
16,FC Barcelona,FIFA Club World Cup winner,Luis Suárez Díaz
20/21,Atlético de Madrid,Spanish champion,Luis Suárez Díaz
18/19,FC Barcelona,Spanish champion,Luis Suárez Díaz
17/18,FC Barcelona,Spanish champion,Luis Suárez Díaz
15/16,FC Barcelona,Spanish champion,Luis Suárez Díaz
14/15,FC Barcelona,Spanish champion,Luis Suárez Díaz
15/16,FC Barcelona,Uefa Supercup winner,Luis Suárez Díaz
17/18,FC Barcelona,Spanish cup winner,Luis Suárez Díaz
16/17,FC Barcelona,Spanish cup winner,Luis Suárez Díaz
15/16,FC Barcelona,Spanish cup winner,Luis Suárez Díaz
14/15,FC Barcelona,Spanish cup winner,Luis Suárez Díaz
18/19,FC Barcelona,Spanish Super Cup winner,Luis Suárez Díaz
16/17,FC Barcelona,Spanish Super Cup winner,Luis Suárez Díaz
12,Liverpool FC,English League Cup winner,Luis Suárez Díaz
10/11,Ajax Amsterdam,Dutch champion,Luis Suárez Díaz
09/10,Ajax Amsterdam,Dutch Cup winner,Luis Suárez Díaz
21/22,Club Nacional,Uruguayan champion,Luis Suárez Díaz
11,Brazil,Footballer of the Year,Neymar
11,,FIFA Puskás Award,Neymar
14/15,UEFA Champions League- 10 Goals,Top goal scorer,Neymar
14/15,Copa del Rey- 7 Goals,Top goal scorer,Neymar
11/12,Copa Libertadores- 8 Goals,Top goal scorer,Neymar
09/10,Copa do Brasil- 11 Goals,Top goal scorer,Neymar
14/15,FC Barcelona,Champions League winner,Neymar
16,FC Barcelona,FIFA Club World Cup winner,Neymar
22/23,Paris Saint-Germain,French champion,Neymar
21/22,Paris Saint-Germain,French champion,Neymar
19/20,Paris Saint-Germain,French champion,Neymar
18/19,Paris Saint-Germain,French champion,Neymar
17/18,Paris Saint-Germain,French champion,Neymar
15/16,FC Barcelona,Spanish champion,Neymar
14/15,FC Barcelona,Spanish champion,Neymar
15/16,FC Barcelona,Uefa Supercup winner,Neymar
20/21,Paris Saint-Germain,French cup winner,Neymar
19/20,Paris Saint-Germain,French cup winner,Neymar
17/18,Paris Saint-Germain,French cup winner,Neymar
16/17,FC Barcelona,Spanish cup winner,Neymar
15/16,FC Barcelona,Spanish cup winner,Neymar
14/15,FC Barcelona,Spanish cup winner,Neymar
13/14,FC Barcelona,Spanish Super Cup winner,Neymar
19/20,Paris Saint-Germain,French league cup winner,Neymar
17/18,Paris Saint-Germain,French league cup winner,Neymar
10,Santos FC,Brazilian cup winner,Neymar
10/11,Santos FC,Copa Libertadores winner,Neymar
13,Brazil,Confederations Cup winner,Neymar
11/12,Santos FC,Recopa Sudamericana winner,Neymar
11,Brazil U20,Under-20 South American Championship winner,Neymar
22/23,Paris Saint-Germain,French Super Cup winner,Neymar
20/21,Paris Saint-Germain,French Super Cup winner,Neymar
19/20,Paris Saint-Germain,French Super Cup winner,Neymar
18/19,Paris Saint-Germain,French Super Cup winner,Neymar
15/16,Brazil Olympic Team,Olympic medalist,Neymar
10/11,FC Barcelona,Champions League winner,Éric Abidal
08/09,FC Barcelona,Champions League winner,Éric Abidal
12,FC Barcelona,FIFA Club World Cup winner,Éric Abidal
10,FC Barcelona,FIFA Club World Cup winner,Éric Abidal
12/13,FC Barcelona,Spanish champion,Éric Abidal
10/11,FC Barcelona,Spanish champion,Éric Abidal
09/10,FC Barcelona,Spanish champion,Éric Abidal
08/09,FC Barcelona,Spanish champion,Éric Abidal
11/12,FC Barcelona,Uefa Supercup winner,Éric Abidal
09/10,FC Barcelona,Uefa Supercup winner,Éric Abidal
08/09,FC Barcelona,Uefa Supercup winner,Éric Abidal
11/12,FC Barcelona,Spanish cup winner,Éric Abidal
08/09,FC Barcelona,Spanish cup winner,Éric Abidal
11/12,FC Barcelona,Spanish Super Cup winner,Éric Abidal
10/11,FC Barcelona,Spanish Super Cup winner,Éric Abidal
09/10,FC Barcelona,Spanish Super Cup winner,Éric Abidal
08/09,FC Barcelona,Spanish Super Cup winner,Éric Abidal
15,Olympiacos Piraeus,Greek champion,Éric Abidal
22,,Winner Ballon d'Or,Karim Benzema
22,Real Madrid,UEFA Best Player in Europe,Karim Benzema
21,France,Footballer of the Year,Karim Benzema
14,France,Footballer of the Year,Karim Benzema
12,France,Footballer of the Year,Karim Benzema
11,France,Footballer of the Year,Karim Benzema
21/22,Real Madrid,Player of the Year,Karim Benzema
21/22,LaLiga,Player of the Year,Karim Benzema
19/20,LaLiga,Player of the Year,Karim Benzema
19/20,Real Madrid,Player of the Year,Karim Benzema
18/19,Real Madrid,Player of the Year,Karim Benzema
15/16,Real Madrid,Player of the Year,Karim Benzema
07/08,Ligue 1,Player of the Year,Karim Benzema
21/22,LaLiga- 27 Goals,Top goal scorer,Karim Benzema
21/22,UEFA Champions League- 15 Goals,Top goal scorer,Karim Benzema
21/22,Supercopa- 2 Goals,Top goal scorer,Karim Benzema
07/08,Ligue 1- 20 Goals,Top goal scorer,Karim Benzema
07/08,Coupe de France- 6 Goals,Top goal scorer,Karim Benzema
22,Spain,TM-Player of the season,Karim Benzema
21/22,Real Madrid,Champions League winner,Karim Benzema
17/18,Real Madrid,Champions League winner,Karim Benzema
